chip,dtype,profile,n,d,g,o,repeat,fit_s,admm_iters,nll,max_kkt,status
NVIDIA GeForce RTX 2080 Ti,float32,rbf,64,6,13,78,2,3.036,9,-22865.775390625,52253.9921875,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,16,6,13,78,5,1.018,8,-3957.39794921875,22592.337890625,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,32,6,13,78,8,0.954,5,-9799.416015625,33166.9140625,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,128,6,13,78,3,2.287,4,-50470.2109375,74012.8828125,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,64,6,13,78,4,1.868,6,-22687.76953125,68650.7578125,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,32,6,13,78,8,1.106,10,-9986.46875,30824.21484375,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,32,6,13,78,9,0.959,5,-9799.416015625,33166.9140625,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,16,6,13,78,6,1.026,8,-3957.39794921875,22592.337890625,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,32,6,13,78,9,1.107,10,-9986.46875,30824.21484375,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,32,6,13,78,10,0.96,5,-9799.416015625,33166.9140625,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,16,6,13,78,7,1.017,8,-3957.39794921875,22592.337890625,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,64,6,13,78,5,1.868,6,-22687.76953125,68650.7578125,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,128,6,13,78,4,2.293,4,-50470.2109375,74012.8828125,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,64,6,13,78,3,3.034,9,-22865.775390625,52253.9921875,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,32,6,13,78,11,0.961,5,-9799.416015625,33166.9140625,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,32,6,13,78,10,1.111,10,-9986.46875,30824.21484375,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,128,6,13,78,1,6.028,5,-50655.2421875,60240.84765625,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,16,6,13,78,8,1.016,8,-3957.39794921875,22592.337890625,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,32,6,13,78,11,1.108,10,-9986.46875,30824.21484375,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,16,6,13,78,9,1.016,8,-3957.39794921875,22592.337890625,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,64,6,13,78,6,1.868,6,-22687.76953125,68650.7578125,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,128,6,13,78,5,2.294,4,-50470.2109375,74012.8828125,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,16,6,13,78,10,1.027,8,-3957.39794921875,22592.337890625,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,64,6,13,78,4,3.032,9,-22865.775390625,52253.9921875,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,16,6,13,78,11,1.018,8,-3957.39794921875,22592.337890625,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,64,6,13,78,7,1.868,6,-22687.76953125,68650.7578125,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,128,6,13,78,6,2.297,4,-50470.2109375,74012.8828125,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,64,6,13,78,8,1.871,6,-22687.76953125,68650.7578125,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,64,6,13,78,5,3.048,9,-22865.775390625,52253.9921875,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,128,6,13,78,2,6.035,5,-50655.2421875,60240.84765625,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,128,6,13,78,7,2.298,4,-50470.2109375,74012.8828125,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,64,6,13,78,9,1.867,6,-22687.76953125,68650.7578125,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,64,6,13,78,10,1.876,6,-22687.76953125,68650.7578125,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,128,6,13,78,8,2.3,4,-50470.2109375,74012.8828125,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,64,6,13,78,6,3.052,9,-22865.775390625,52253.9921875,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,64,6,13,78,11,1.867,6,-22687.76953125,68650.7578125,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,256,6,13,78,0,38.074,6,-110333.328125,121678.453125,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,128,6,13,78,9,2.307,4,-50470.2109375,74012.8828125,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,128,6,13,78,3,6.02,5,-50655.2421875,60240.84765625,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,64,6,13,78,7,3.054,9,-22865.775390625,52253.9921875,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,128,6,13,78,10,2.311,4,-50470.2109375,74012.8828125,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,256,6,13,78,1,20.281,9,-109367.34375,84257.7109375,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,64,6,13,78,8,3.055,9,-22865.775390625,52253.9921875,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,128,6,13,78,11,2.312,4,-50470.2109375,74012.8828125,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,128,6,13,78,4,6.035,5,-50655.2421875,60240.84765625,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,64,6,13,78,9,3.054,9,-22865.775390625,52253.9921875,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,64,6,13,78,10,3.052,9,-22865.775390625,52253.9921875,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,128,6,13,78,5,6.042,5,-50655.2421875,60240.84765625,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,64,6,13,78,11,3.055,9,-22865.775390625,52253.9921875,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,128,6,13,78,6,6.048,5,-50655.2421875,60240.84765625,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,256,6,13,78,2,20.388,9,-109367.34375,84257.7109375,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,256,6,13,78,1,23.948,6,-110333.328125,121678.453125,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,128,6,13,78,7,6.038,5,-50655.2421875,60240.84765625,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,16,6,13,78,0,14.975,5,-4090.1353698475814,3121.639867817003,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,16,6,13,78,1,1.062,5,-4090.1353698475814,3121.639867817003,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,32,6,13,78,0,17.372,5,-10022.828459274639,4626.917164546043,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,16,6,13,78,2,1.061,5,-4090.1353698475814,3121.639867817003,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,16,6,13,78,3,1.056,5,-4090.1353698475814,3121.639867817003,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,32,6,13,78,1,2.728,5,-10022.828459274639,4626.917164546043,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,16,6,13,78,4,1.055,5,-4090.1353698475814,3121.639867817003,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,16,6,13,78,5,1.054,5,-4090.1353698475814,3121.639867817003,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,128,6,13,78,8,6.041,5,-50655.2421875,60240.84765625,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,16,6,13,78,6,1.055,5,-4090.1353698475814,3121.639867817003,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,64,6,13,78,0,22.486,6,-23118.833015982607,8747.01180502782,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,32,6,13,78,2,2.732,5,-10022.828459274639,4626.917164546043,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,16,6,13,78,7,1.06,5,-4090.1353698475814,3121.639867817003,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,16,6,13,78,8,1.063,5,-4090.1353698475814,3121.639867817003,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,32,6,13,78,3,2.732,5,-10022.828459274639,4626.917164546043,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,16,6,13,78,9,1.062,5,-4090.1353698475814,3121.639867817003,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,16,6,13,78,10,1.069,5,-4090.1353698475814,3121.639867817003,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,128,6,13,78,9,6.057,5,-50655.2421875,60240.84765625,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,16,6,13,78,11,1.063,5,-4090.1353698475814,3121.639867817003,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,32,6,13,78,4,2.734,5,-10022.828459274639,4626.917164546043,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,64,6,13,78,1,7.487,6,-23118.833015982607,8747.01180502782,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,32,6,13,78,5,2.733,5,-10022.828459274639,4626.917164546043,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,128,6,13,78,10,6.057,5,-50655.2421875,60240.84765625,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,32,6,13,78,6,2.736,5,-10022.828459274639,4626.917164546043,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,256,6,13,78,3,20.511,9,-109367.34375,84257.7109375,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,32,6,13,78,7,2.738,5,-10022.828459274639,4626.917164546043,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,64,6,13,78,2,7.506,6,-23118.833015982607,8747.01180502782,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,256,6,13,78,2,24.024,6,-110333.328125,121678.453125,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,512,6,13,78,0,87.131,7,-238059.671875,220637.296875,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,32,6,13,78,8,2.736,5,-10022.828459274639,4626.917164546043,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,128,6,13,78,11,6.059,5,-50655.2421875,60240.84765625,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,32,6,13,78,9,2.73,5,-10022.828459274639,4626.917164546043,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,32,6,13,78,10,2.735,5,-10022.828459274639,4626.917164546043,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,64,6,13,78,3,7.51,6,-23118.833015982607,8747.01180502782,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,32,6,13,78,11,2.73,5,-10022.828459274639,4626.917164546043,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,64,6,13,78,4,7.509,6,-23118.833015982607,8747.01180502782,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,256,6,13,78,4,20.618,9,-109367.34375,84257.7109375,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,64,6,13,78,5,7.505,6,-23118.833015982607,8747.01180502782,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,256,6,13,78,3,24.066,6,-110333.328125,121678.453125,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,64,6,13,78,6,7.507,6,-23118.833015982607,8747.01180502782,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,64,6,13,78,7,7.502,6,-23118.833015982607,8747.01180502782,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,256,6,13,78,5,20.658,9,-109367.34375,84257.7109375,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,512,6,13,78,0,122.704,7,-233319.71875,111084.5625,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,128,6,13,78,0,47.804,11,-51109.55675219574,26200.415282127262,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,64,6,13,78,8,7.499,6,-23118.833015982607,8747.01180502782,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,256,6,13,78,4,23.97,6,-110333.328125,121678.453125,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,64,6,13,78,9,7.499,6,-23118.833015982607,8747.01180502782,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,256,6,13,78,6,20.681,9,-109367.34375,84257.7109375,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,64,6,13,78,10,7.5,6,-23118.833015982607,8747.01180502782,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,64,6,13,78,11,7.498,6,-23118.833015982607,8747.01180502782,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,256,6,13,78,5,24.017,6,-110333.328125,121678.453125,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,128,6,13,78,1,32.56,11,-51109.55675219574,26200.415282127262,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,512,6,13,78,1,73.671,7,-238059.671875,220637.296875,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,256,6,13,78,7,20.749,9,-109367.34375,84257.7109375,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,4096,6,13,78,0,,,,,JaxRuntimeError
NVIDIA GeForce RTX 2080 Ti,float32,matern52,256,6,13,78,6,24.028,6,-110333.328125,121678.453125,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,256,6,13,78,8,20.762,9,-109367.34375,84257.7109375,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,128,6,13,78,2,32.46,11,-51109.55675219574,26200.415282127262,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,256,6,13,78,7,24.032,6,-110333.328125,121678.453125,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,256,6,13,78,9,20.768,9,-109367.34375,84257.7109375,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,16,6,13,78,0,15.888,4,-3963.944038906524,4212.708604522248,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,16,6,13,78,1,1.234,4,-3963.944038906524,4212.708604522248,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,16,6,13,78,2,1.233,4,-3963.944038906524,4212.708604522248,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,16,6,13,78,3,1.23,4,-3963.944038906524,4212.708604522248,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,16,6,13,78,4,1.23,4,-3963.944038906524,4212.708604522248,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,16,6,13,78,5,1.228,4,-3963.944038906524,4212.708604522248,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,128,6,13,78,3,32.45,11,-51109.55675219574,26200.415282127262,ok
