chip,dtype,profile,n,d,g,o,repeat,fit_s,admm_iters,nll,max_kkt,status
NVIDIA GeForce RTX 2080 Ti,float64,matern52,128,6,13,78,6,16.03,6,-51260.138628422916,42408.59608571342,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,512,6,13,78,3,109.157,7,-233319.71875,111084.5625,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,512,6,13,78,5,73.705,7,-238059.671875,220637.296875,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,128,6,13,78,7,16.03,6,-51260.138628422916,42408.59608571342,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,256,6,13,78,0,145.325,11,-112099.34144255417,93436.31903486467,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,4096,6,13,78,0,,,,,JaxRuntimeError
NVIDIA GeForce RTX 2080 Ti,float64,rbf,128,6,13,78,11,32.472,11,-51109.55675219574,26200.415282127262,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,128,6,13,78,8,16.119,6,-51260.138628422916,42408.59608571342,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,1024,6,13,78,0,483.595,10,-497791.125,163718.8125,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,128,6,13,78,9,16.14,6,-51260.138628422916,42408.59608571342,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,4096,6,13,78,0,,,,,JaxRuntimeError
NVIDIA GeForce RTX 2080 Ti,float64,matern52,128,6,13,78,10,16.147,6,-51260.138628422916,42408.59608571342,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,512,6,13,78,6,73.729,7,-238059.671875,220637.296875,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,128,6,13,78,11,16.145,6,-51260.138628422916,42408.59608571342,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,2048,6,13,78,0,,,,,JaxRuntimeError
NVIDIA GeForce RTX 2080 Ti,float32,rbf,512,6,13,78,4,108.816,7,-233319.71875,111084.5625,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,256,6,13,78,1,131.535,11,-112099.34144255417,93436.31903486467,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,512,6,13,78,7,73.721,7,-238059.671875,220637.296875,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,1024,6,13,78,1,294.506,8,-509316.6875,185408.734375,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,512,6,13,78,5,109.275,7,-233319.71875,111084.5625,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,512,6,13,78,8,73.741,7,-238059.671875,220637.296875,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,256,6,13,78,2,131.589,11,-112099.34144255417,93436.31903486467,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,256,6,13,78,0,662.644,17,-110820.22999202216,31279.27589263703,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,512,6,13,78,9,73.728,7,-238059.671875,220637.296875,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,512,6,13,78,6,109.33,7,-233319.71875,111084.5625,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,512,6,13,78,10,73.718,7,-238059.671875,220637.296875,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,256,6,13,78,3,131.593,11,-112099.34144255417,93436.31903486467,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,512,6,13,78,7,109.282,7,-233319.71875,111084.5625,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,16,6,13,78,0,16.385,8,-4079.826171875,21652.90625,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,32,6,13,78,0,18.723,10,-9973.208984375,31813.810546875,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,16,6,13,78,1,1.111,8,-4079.826171875,21652.90625,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,512,6,13,78,11,73.686,7,-238059.671875,220637.296875,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,64,6,13,78,0,19.398,9,-22930.4375,49927.3359375,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,16,6,13,78,2,1.126,8,-4079.826171875,21652.90625,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,32,6,13,78,1,2.239,10,-9973.208984375,31813.810546875,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,16,6,13,78,3,1.125,8,-4079.826171875,21652.90625,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,16,6,13,78,4,1.111,8,-4079.826171875,21652.90625,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,64,6,13,78,1,3.62,9,-22930.4375,49927.3359375,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,32,6,13,78,2,2.258,10,-9973.208984375,31813.810546875,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,16,6,13,78,5,1.119,8,-4079.826171875,21652.90625,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,16,6,13,78,6,1.127,8,-4079.826171875,21652.90625,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,32,6,13,78,3,2.247,10,-9973.208984375,31813.810546875,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,16,6,13,78,7,1.108,8,-4079.826171875,21652.90625,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,64,6,13,78,2,3.626,9,-22930.4375,49927.3359375,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,128,6,13,78,0,26.991,7,-50515.8671875,65905.3359375,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,16,6,13,78,8,1.12,8,-4079.826171875,21652.90625,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,32,6,13,78,4,2.254,10,-9973.208984375,31813.810546875,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,16,6,13,78,9,1.113,8,-4079.826171875,21652.90625,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,16,6,13,78,10,1.123,8,-4079.826171875,21652.90625,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,32,6,13,78,5,2.269,10,-9973.208984375,31813.810546875,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,64,6,13,78,3,3.635,9,-22930.4375,49927.3359375,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,16,6,13,78,11,1.122,8,-4079.826171875,21652.90625,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,32,6,13,78,6,2.268,10,-9973.208984375,31813.810546875,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,64,6,13,78,4,3.644,9,-22930.4375,49927.3359375,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,32,6,13,78,7,2.257,10,-9973.208984375,31813.810546875,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,1024,6,13,78,2,294.435,8,-509316.6875,185408.734375,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,128,6,13,78,1,9.628,7,-50515.8671875,65905.3359375,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,32,6,13,78,8,2.261,10,-9973.208984375,31813.810546875,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,64,6,13,78,5,3.644,9,-22930.4375,49927.3359375,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,32,6,13,78,9,2.257,10,-9973.208984375,31813.810546875,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,64,6,13,78,6,3.633,9,-22930.4375,49927.3359375,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,32,6,13,78,10,2.259,10,-9973.208984375,31813.810546875,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,32,6,13,78,11,2.252,10,-9973.208984375,31813.810546875,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,64,6,13,78,7,3.634,9,-22930.4375,49927.3359375,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,128,6,13,78,2,9.672,7,-50515.8671875,65905.3359375,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,64,6,13,78,8,3.636,9,-22930.4375,49927.3359375,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,64,6,13,78,9,3.624,9,-22930.4375,49927.3359375,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,128,6,13,78,3,9.557,7,-50515.8671875,65905.3359375,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,64,6,13,78,10,3.627,9,-22930.4375,49927.3359375,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,64,6,13,78,11,3.633,9,-22930.4375,49927.3359375,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,2048,6,13,78,0,,,,,JaxRuntimeError
NVIDIA GeForce GTX 1080 Ti,float32,rbf,2048,6,13,78,0,,,,,JaxRuntimeError
NVIDIA GeForce GTX 1080 Ti,float32,rbf,128,6,13,78,4,9.65,7,-50515.8671875,65905.3359375,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,256,6,13,78,0,36.531,8,-109232.578125,71322.1015625,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,1024,6,13,78,1,462.781,10,-497791.125,163718.8125,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,128,6,13,78,5,9.65,7,-50515.8671875,65905.3359375,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,16,6,13,78,0,16.881,10,-3937.47216796875,24825.125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,32,6,13,78,0,17.407,8,-9821.529296875,37375.14453125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,16,6,13,78,1,1.292,10,-3937.47216796875,24825.125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,32,6,13,78,1,1.15,8,-9821.529296875,37375.14453125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,16,6,13,78,2,1.294,10,-3937.47216796875,24825.125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,64,6,13,78,0,20.224,9,-22786.59765625,65825.890625,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,32,6,13,78,2,1.141,8,-9821.529296875,37375.14453125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,128,6,13,78,0,21.184,5,-50446.09375,76971.9453125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,16,6,13,78,3,1.276,10,-3937.47216796875,24825.125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,32,6,13,78,3,1.14,8,-9821.529296875,37375.14453125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,16,6,13,78,4,1.273,10,-3937.47216796875,24825.125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,32,6,13,78,4,1.272,8,-9821.529296875,37375.14453125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,64,6,13,78,1,3.428,9,-22786.59765625,65825.890625,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,32,6,13,78,5,1.153,8,-9821.529296875,37375.14453125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,16,6,13,78,5,1.312,10,-3937.47216796875,24825.125,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,128,6,13,78,6,9.646,7,-50515.8671875,65905.3359375,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,32,6,13,78,6,1.141,8,-9821.529296875,37375.14453125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,128,6,13,78,1,4.083,5,-50446.09375,76971.9453125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,16,6,13,78,6,1.325,10,-3937.47216796875,24825.125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,32,6,13,78,7,1.143,8,-9821.529296875,37375.14453125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,16,6,13,78,7,1.331,10,-3937.47216796875,24825.125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,64,6,13,78,2,3.425,9,-22786.59765625,65825.890625,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,32,6,13,78,8,1.138,8,-9821.529296875,37375.14453125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,16,6,13,78,8,1.323,10,-3937.47216796875,24825.125,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,256,6,13,78,1,20.894,8,-109232.578125,71322.1015625,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,32,6,13,78,9,1.144,8,-9821.529296875,37375.14453125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,16,6,13,78,9,1.325,10,-3937.47216796875,24825.125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,128,6,13,78,2,4.142,5,-50446.09375,76971.9453125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,32,6,13,78,10,1.141,8,-9821.529296875,37375.14453125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,64,6,13,78,3,3.418,9,-22786.59765625,65825.890625,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,16,6,13,78,10,1.336,10,-3937.47216796875,24825.125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,32,6,13,78,11,1.147,8,-9821.529296875,37375.14453125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,16,6,13,78,11,1.334,10,-3937.47216796875,24825.125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,128,6,13,78,3,4.123,5,-50446.09375,76971.9453125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,64,6,13,78,4,3.414,9,-22786.59765625,65825.890625,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,128,6,13,78,7,9.645,7,-50515.8671875,65905.3359375,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,64,6,13,78,5,3.409,9,-22786.59765625,65825.890625,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,128,6,13,78,4,4.113,5,-50446.09375,76971.9453125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,64,6,13,78,6,3.424,9,-22786.59765625,65825.890625,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,128,6,13,78,5,4.099,5,-50446.09375,76971.9453125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,64,6,13,78,7,3.43,9,-22786.59765625,65825.890625,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,128,6,13,78,8,9.661,7,-50515.8671875,65905.3359375,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,128,6,13,78,6,4.096,5,-50446.09375,76971.9453125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,64,6,13,78,8,3.425,9,-22786.59765625,65825.890625,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,256,6,13,78,2,20.844,8,-109232.578125,71322.1015625,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,128,6,13,78,7,4.109,5,-50446.09375,76971.9453125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,64,6,13,78,9,3.425,9,-22786.59765625,65825.890625,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,128,6,13,78,9,9.662,7,-50515.8671875,65905.3359375,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,128,6,13,78,8,4.104,5,-50446.09375,76971.9453125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,64,6,13,78,10,3.413,9,-22786.59765625,65825.890625,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,256,6,13,78,4,131.621,11,-112099.34144255417,93436.31903486467,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,64,6,13,78,11,3.414,9,-22786.59765625,65825.890625,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,128,6,13,78,9,4.103,5,-50446.09375,76971.9453125,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,512,6,13,78,8,109.279,7,-233319.71875,111084.5625,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,2048,6,13,78,0,,,,,JaxRuntimeError
NVIDIA GeForce GTX 1080 Ti,float32,matern52,128,6,13,78,10,4.108,5,-50446.09375,76971.9453125,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,128,6,13,78,10,9.683,7,-50515.8671875,65905.3359375,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,128,6,13,78,11,4.106,5,-50446.09375,76971.9453125,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,256,6,13,78,0,36.183,9,-110756.765625,120746.8828125,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,256,6,13,78,3,20.864,8,-109232.578125,71322.1015625,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,128,6,13,78,11,9.688,7,-50515.8671875,65905.3359375,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,16,6,13,78,0,18.47,4,-4090.0168263403975,1805.529107377961,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,32,6,13,78,0,19.27,5,-10022.359160209433,6622.639619128635,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,16,6,13,78,1,0.931,4,-4090.0168263403975,1805.529107377961,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,16,6,13,78,2,0.925,4,-4090.0168263403975,1805.529107377961,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,16,6,13,78,3,0.922,4,-4090.0168263403975,1805.529107377961,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,32,6,13,78,1,2.36,5,-10022.359160209433,6622.639619128635,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,16,6,13,78,4,0.916,4,-4090.0168263403975,1805.529107377961,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,16,6,13,78,5,0.924,4,-4090.0168263403975,1805.529107377961,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,256,6,13,78,1,18.959,9,-110756.765625,120746.8828125,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,32,6,13,78,2,2.368,5,-10022.359160209433,6622.639619128635,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,16,6,13,78,6,0.951,4,-4090.0168263403975,1805.529107377961,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,64,6,13,78,0,24.881,6,-23113.908359272136,14461.234075659284,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,16,6,13,78,7,0.943,4,-4090.0168263403975,1805.529107377961,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,16,6,13,78,8,0.942,4,-4090.0168263403975,1805.529107377961,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,32,6,13,78,3,2.372,5,-10022.359160209433,6622.639619128635,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,16,6,13,78,9,0.945,4,-4090.0168263403975,1805.529107377961,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,16,6,13,78,10,0.952,4,-4090.0168263403975,1805.529107377961,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,256,6,13,78,4,20.929,8,-109232.578125,71322.1015625,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,32,6,13,78,4,2.372,5,-10022.359160209433,6622.639619128635,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,16,6,13,78,11,0.939,4,-4090.0168263403975,1805.529107377961,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,32,6,13,78,5,2.37,5,-10022.359160209433,6622.639619128635,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,64,6,13,78,1,7.483,6,-23113.908359272136,14461.234075659284,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,32,6,13,78,6,2.374,5,-10022.359160209433,6622.639619128635,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,4096,6,13,78,0,,,,,JaxRuntimeError
NVIDIA GeForce GTX 1080 Ti,float64,rbf,32,6,13,78,7,2.364,5,-10022.359160209433,6622.639619128635,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,32,6,13,78,8,2.363,5,-10022.359160209433,6622.639619128635,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,64,6,13,78,2,7.467,6,-23113.908359272136,14461.234075659284,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,32,6,13,78,9,2.363,5,-10022.359160209433,6622.639619128635,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,256,6,13,78,2,18.875,9,-110756.765625,120746.8828125,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,32,6,13,78,10,2.36,5,-10022.359160209433,6622.639619128635,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,512,6,13,78,0,76.603,6,-236872.71875,204580.109375,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,32,6,13,78,11,2.358,5,-10022.359160209433,6622.639619128635,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,64,6,13,78,3,7.513,6,-23113.908359272136,14461.234075659284,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,32,6,13,78,0,17.861,4,-9861.911955687723,6640.156395548162,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,256,6,13,78,5,20.912,8,-109232.578125,71322.1015625,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,32,6,13,78,1,1.271,4,-9861.911955687723,6640.156395548162,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,16,6,13,78,0,19.23,4,-3963.483887111725,2979.453280605919,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,32,6,13,78,2,1.268,4,-9861.911955687723,6640.156395548162,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,16,6,13,78,1,1.138,4,-3963.483887111725,2979.453280605919,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,16,6,13,78,2,1.128,4,-3963.483887111725,2979.453280605919,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,32,6,13,78,3,1.275,4,-9861.911955687723,6640.156395548162,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,16,6,13,78,3,1.133,4,-3963.483887111725,2979.453280605919,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,32,6,13,78,4,1.273,4,-9861.911955687723,6640.156395548162,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,64,6,13,78,0,23.697,7,-22952.361711283993,17337.731555118426,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,128,6,13,78,0,54.782,8,-51108.37430387604,22862.094598202435,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,16,6,13,78,4,1.126,4,-3963.483887111725,2979.453280605919,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,32,6,13,78,5,1.276,4,-9861.911955687723,6640.156395548162,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,512,6,13,78,0,146.748,21,-233850.3125,126177.203125,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,64,6,13,78,4,7.526,6,-23113.908359272136,14461.234075659284,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,16,6,13,78,5,1.131,4,-3963.483887111725,2979.453280605919,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,32,6,13,78,6,1.279,4,-9861.911955687723,6640.156395548162,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,16,6,13,78,6,1.127,4,-3963.483887111725,2979.453280605919,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,32,6,13,78,7,1.277,4,-9861.911955687723,6640.156395548162,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,16,6,13,78,7,1.128,4,-3963.483887111725,2979.453280605919,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,32,6,13,78,8,1.28,4,-9861.911955687723,6640.156395548162,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,16,6,13,78,8,1.131,4,-3963.483887111725,2979.453280605919,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,64,6,13,78,1,5.566,7,-22952.361711283993,17337.731555118426,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,32,6,13,78,9,1.278,4,-9861.911955687723,6640.156395548162,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,16,6,13,78,9,1.129,4,-3963.483887111725,2979.453280605919,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,16,6,13,78,10,1.129,4,-3963.483887111725,2979.453280605919,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,32,6,13,78,10,1.278,4,-9861.911955687723,6640.156395548162,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,16,6,13,78,11,1.128,4,-3963.483887111725,2979.453280605919,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,256,6,13,78,3,19.072,9,-110756.765625,120746.8828125,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,32,6,13,78,11,1.278,4,-9861.911955687723,6640.156395548162,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,64,6,13,78,5,7.524,6,-23113.908359272136,14461.234075659284,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,64,6,13,78,2,5.558,7,-22952.361711283993,17337.731555118426,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,4096,6,13,78,0,,,,,JaxRuntimeError
NVIDIA GeForce GTX 1080 Ti,float32,rbf,256,6,13,78,6,20.915,8,-109232.578125,71322.1015625,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,64,6,13,78,6,7.633,6,-23113.908359272136,14461.234075659284,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,64,6,13,78,3,5.543,7,-22952.361711283993,17337.731555118426,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,128,6,13,78,0,42.095,7,-51260.22420149132,49049.47572013517,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,64,6,13,78,4,5.576,7,-22952.361711283993,17337.731555118426,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,64,6,13,78,7,7.623,6,-23113.908359272136,14461.234075659284,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,256,6,13,78,4,19.063,9,-110756.765625,120746.8828125,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,64,6,13,78,5,5.611,7,-22952.361711283993,17337.731555118426,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,64,6,13,78,8,7.636,6,-23113.908359272136,14461.234075659284,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,64,6,13,78,6,5.586,7,-22952.361711283993,17337.731555118426,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,128,6,13,78,1,35.978,8,-51108.37430387604,22862.094598202435,ok
NVIDIA GeForce GTX 1080 Ti,float32,rbf,256,6,13,78,7,20.917,8,-109232.578125,71322.1015625,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,64,6,13,78,7,5.584,7,-22952.361711283993,17337.731555118426,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,64,6,13,78,9,7.638,6,-23113.908359272136,14461.234075659284,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,128,6,13,78,1,23.781,7,-51260.22420149132,49049.47572013517,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,64,6,13,78,8,5.611,7,-22952.361711283993,17337.731555118426,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,256,6,13,78,5,19.078,9,-110756.765625,120746.8828125,ok
NVIDIA GeForce GTX 1080 Ti,float64,rbf,64,6,13,78,10,7.625,6,-23113.908359272136,14461.234075659284,ok
NVIDIA GeForce GTX 1080 Ti,float64,matern52,64,6,13,78,9,5.607,7,-22952.361711283993,17337.731555118426,ok
NVIDIA GeForce GTX 1080 Ti,float32,matern52,512,6,13,78,1,59.755,6,-236872.71875,204580.109375,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,512,6,13,78,9,108.901,7,-233319.71875,111084.5625,ok
